phase	date	purpose	data_partitions_accessed	models_involved	performance_evaluated	decision	artifact_path	sha_provenance_status
4I	2026-08-13	CMS-tail population/support prelaunch; mass-plane analog contract	population/support metadata only, no event tensors materialized	none	no	population definition frozen	phase4I_cms_tail_population_support_prelaunch	SHA256SUMS present, 24/24 verified OK
4J	2026-08-13	Development data contract: file split manifest, holdout_B seal, input schema, training gate	development (train/val split lists only); holdout_B sealed (file list extracted, not materialized)	none	no	development/holdout_B partition contract frozen	phase4J_development_data_contract_20260813_v1	SHA256SUMS present, 23/23 verified OK
4K	2026-08-13	Model/training contract: architecture import manifest, event feature contract, pairwise-attention contract, training authorization	none (contract-only phase)	E0, E1, E2 (defined, not yet trained)	no	training authorized under frozen contract	phase4K_model_training_contract_20260813_v1	SHA256SUMS present, 15/15 verified OK
4L	2026-08-13	E0/E1/E2 development-only training and evaluation, 3 seeds each (9 runs)	development internal_train / internal_val only	E0, E1, E2 x seeds {0,1,2}	yes (internal_val only)	E1 selected as strongest arm on internal_val; E2 underperforms E1; holdout_A/holdout_B/inference_qcd not opened	phase4L_event_transformer_development_training_20260813_v1	SHA256SUMS present, 922/922 verified OK
4M	2026-08-13 (locked 2026-08-14T03:31:35Z)	One-time holdout_A adjudication of the 9 already-trained Phase-4L checkpoints (no retraining)	holdout_A (opened exactly once, this phase); holdout_B/inference_qcd_1/inference_qcd_2 untouched	E0, E1, E2 x seeds {0,1,2} (reused Phase-4L checkpoints)	yes (holdout_A)	E1>E0 fully reproduces; E1>E2 partially reproduces (1/3 seeds flips at eps_S=0.20, at the raw-QCD=10 support boundary); holdout_A now spent/consumed for arm adjudication	phase4M_holdout_a_adjudication_20260813_v1	SHA256SUMS present, 324/324 verified OK
4N	2026-08-13	Draft LaTeX mechanism-ablation appendix built from already-frozen 4L/4M numbers only	none (writing phase only)	E0, E1, E2 (reporting only)	no (transcription only)	draft appendix produced, later superseded by 4O's v2	phase4N_trackb_ablation_appendix_draft_20260813_v1	SHA256SUMS present, 5/5 verified OK
4O	2026-08-14	Publication/transfer-readiness package: independent re-verification of every 4L/4M number, checkpoint-license audit, Track-B-to-Track-A transfer feasibility	none (verification/audit only, reads 4L/4M raw eval JSONs)	E0, E1, E2 (re-verified only)	re-verified, not re-run	found and corrected one arithmetic error in 4L prose (+33%->+31% at eps_S=0.40, erratum issued, 4L files unchanged); ruled E1's continuous-flavor mechanism does NOT transfer to Track A (Track A has no continuous jet-flavor discriminator, only binary Jet.BTag); E0 and pairwise-kinematic mechanism DO transfer	phase4O_trackb_publication_transfer_readiness_20260814_v1	SHA256SUMS present, 22/22 verified OK
4P	2026-08-14	SPA-Net/ParT/SophonAK4-embedding feasibility gate for a native-vs-representation-enhanced comparison study	5000-event truth-matching canary only; no holdout	custom pairwise-set-transformer canary (pre-rename); native SPA-Net; ParT; SophonAK4 embeddings	no (readiness gate, not a performance eval)	native SPA-Net classification READY_NOW; native SPA-Net assignment READY_AFTER_ADAPTER (~48% eligible-fraction ceiling caveat); ParT-embedding arm BLOCKED (normalization + R/pT domain gap); SophonAK4-embedding arm BLOCKED (no confirmed embedding output)	phase4P_trackb_spanet_part_feasibility_gate_20260814_v1	SHA256SUMS present, 12/12 verified OK
4Q	2026-08-14 (amended same day)	Primary-study preflight: assignment-label readiness at scale, adapter validation, official-SPA-Net-vs-custom-model naming correction, engineering-canary pilot training	development pilot only (8 files, internal_train/internal_val, file-disjoint); holdout_Q declared but never opened; holdout_B/inference_qcd untouched	official Alexanders101/SPANet (audited, not yet installed at this phase); project's own SpaNetInspiredPairwiseSetTransformer (engineering canary only, explicitly NOT the paper baseline)	pipeline-stability canary only (3-epoch pilot, not a model result)	original pass wrongly treated the custom model as the SPA-Net baseline; corrected same day: paper's SPA-Net baseline MUST be the official Alexanders101/SPANet codebase; custom model demoted to a separately-named engineering canary; naming gate imposed project-wide	phase4Q_trackb_primary_study_preflight_20260814_v1	SHA256SUMS present, 43/43 verified OK
4R	2026-08-14	Paper model-comparison framework: model registry (M01-M10), comparability matrix, machine-readable result schema, table/figure spec, validation tooling	none (schema/framework only)	registry covers M01-M10 (incl. official SPA-Net variants, ParT/SophonAK4-embedding arms, JP-JEPA arm)	no	registry and validation schema frozen for all future result reporting	phase4R_paper_model_comparison_framework_20260814_v1	SHA256SUMS present, 16/16 verified OK
