member_index	target_tag	comparison_status	legacy_rows	canonical_rows	event_key_sets_equal	shared_columns	sample_identity_after_suffix_normalization	exact_equal_columns	differing_columns	numeric_cells_compared	numeric_cells_equal_at_1e_minus_9	note
324	ttbar_100k_shard001	not_performed_no_independent_canonical72_product	46	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
325	ttbar_100k_shard002	not_performed_no_independent_canonical72_product	36	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
326	ttbar_100k_shard003	not_performed_no_independent_canonical72_product	39	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
327	ttbar_100k_shard007	not_performed_no_independent_canonical72_product	39	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
328	ttbar_100k_shard008	not_performed_no_independent_canonical72_product	33	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
329	ttbar_100k_shard009	not_performed_no_independent_canonical72_product	44	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
330	ttbar_200k_shard000	performed_diagnostic_not_acceptance_criterion	37	37	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	481	405	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
331	ttbar_200k_shard001	performed_diagnostic_not_acceptance_criterion	39	39	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	507	464	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
332	ttbar_200k_shard002	performed_diagnostic_not_acceptance_criterion	33	33	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""avg_mbb"",""delta_mbb"",""mhh"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	"[""mbb1"",""mbb2"",""drbb1"",""drbb2""]"	429	401	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
333	ttbar_200k_shard004	performed_diagnostic_not_acceptance_criterion	37	37	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""pairing"",""j1_pt""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""j2_pt"",""j3_pt"",""j4_pt""]"	481	425	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
