figure	format	path	bytes	sha256	description	official_cms_status_claimed
cut_weighted_efficiencies_vs_threshold	png	figures/cut_weighted_efficiencies_vs_threshold.png	129145	b72d8d0f2124a39ac2359b83ead38ca8f1bff367ffcea31deaedffadc5c06501	Weighted signal and background efficiencies across the four predeclared cut working points.	False
cut_weighted_efficiencies_vs_threshold	pdf	figures/cut_weighted_efficiencies_vs_threshold.pdf	29012	ab937cdd403188a347eb361816a8674672e89c30ea7998e528ec849ce7869711	Weighted signal and background efficiencies across the four predeclared cut working points.	False
cut_signal_background_efficiency_plane	png	figures/cut_signal_background_efficiency_plane.png	134383	a58cf97c4cf57734563e5a877493616c19c551d4d6033b17830ee205253c5eae	Signal-versus-background efficiency trade-off for the four predeclared cut working points.	False
cut_signal_background_efficiency_plane	pdf	figures/cut_signal_background_efficiency_plane.pdf	26426	05bfd78c3ec321cda4d11ce6abbb33d3232a78025377db1764387a79189db902	Signal-versus-background efficiency trade-off for the four predeclared cut working points.	False
cut_inverse_background_efficiency_vs_threshold	png	figures/cut_inverse_background_efficiency_vs_threshold.png	149634	d0889e465ba6c8531391f61e72e876e7df7934b5d3d0fab435f0cb1df19061e8	Inverse weighted background efficiency versus the cut threshold.	False
cut_inverse_background_efficiency_vs_threshold	pdf	figures/cut_inverse_background_efficiency_vs_threshold.pdf	26775	56414e96d2a3b83c33c0582d2187aec5dcf6f5b29f0dee2042a708c96f05180e	Inverse weighted background efficiency versus the cut threshold.	False
cut_balanced_proxy_vs_threshold	png	figures/cut_balanced_proxy_vs_threshold.png	139712	cfb4f98afa7d9823d269729c40246202af0efad30d539c1f44ed4a588696df02	Development-balanced efficiency proxy across the predeclared working points.	False
cut_balanced_proxy_vs_threshold	pdf	figures/cut_balanced_proxy_vs_threshold.pdf	29117	4fe769ddad95612671e6473734bf09259dc777d5b8d0d127d08a4371e48beecc	Development-balanced efficiency proxy across the predeclared working points.	False
cut_purity_proxy_vs_threshold	png	figures/cut_purity_proxy_vs_threshold.png	141001	61b78bf648c7992b488ee1d23911c318b890ff4892d76fd6c2a3ee8701691603	Development purity proxy across the predeclared working points.	False
cut_purity_proxy_vs_threshold	pdf	figures/cut_purity_proxy_vs_threshold.pdf	26766	7885bba3071891a8ef6d608024f96bc529b6d520b5c303e2e199d6171fbd06db	Development purity proxy across the predeclared working points.	False
cut_signal_mode_efficiencies_vs_threshold	png	figures/cut_signal_mode_efficiencies_vs_threshold.png	139766	99392f9b77343823a9044a185c9815bd9cacfe017993ab7635829e29fa03b7ab	Weighted ggF and VBF signal efficiencies across the predeclared cut working points.	False
cut_signal_mode_efficiencies_vs_threshold	pdf	figures/cut_signal_mode_efficiencies_vs_threshold.pdf	26186	aedca4009a07e0c1ff772dd6a33c8cfee73d0f6fc4a0f05d35e4989a668403b3	Weighted ggF and VBF signal efficiencies across the predeclared cut working points.	False
cut_background_family_efficiency_heatmap	png	figures/cut_background_family_efficiency_heatmap.png	225296	00ab308a2bfac4122cfe1e2574db4cea98cc951075cb805c3a545d22384f0713	Weighted background-family efficiencies for each predeclared cut working point.	False
cut_background_family_efficiency_heatmap	pdf	figures/cut_background_family_efficiency_heatmap.pdf	47196	114f2f27d68bc1fbf2160a3e9951516ed34539c84ea71914bd9bf493f1f5b707	Weighted background-family efficiencies for each predeclared cut working point.	False
cms_aligned_region_candidate_accounting	png	figures/cms_aligned_region_candidate_accounting.png	121293	6b46ebb5be5d1aed825eeb4621b5970980180ed17cba8f35b9ec9ca8088b7ac9	Signal and background candidate counts in the CMS-aligned mass-plane regions.	False
cms_aligned_region_candidate_accounting	pdf	figures/cms_aligned_region_candidate_accounting.pdf	24869	b83dae50dc37c108bbe465806c36bb0d43e95dd18a23e5e9c050e0699d3a0510	Signal and background candidate counts in the CMS-aligned mass-plane regions.	False
