sample_class	process_or_mode	campaign	source_scope	source_path	source_tag	field	value	status	remote_bundle_path	source_kind	source_paths	source_member_sha256s	source_bundle_sha256	identity_pass
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggf_hh4b_ml_ext20k_frozen_v2_20260716/receipts/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_84883345_0_receipt.json		inner_shard	16019	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggf_hh4b_ml_ext20k_frozen_v2_20260716/receipts/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_84883345_0_receipt.json		local_shard	19	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggf_hh4b_ml_ext20k_frozen_v2_20260716/receipts/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_84883345_0_receipt.json		n_events	1000	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggf_hh4b_ml_ext20k_frozen_v2_20260716/receipts/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_84883345_0_receipt.json		seed	86019	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/ggf_hh4b_ml_ext20k_frozen_v2_20260716/receipts/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_84883345_0_receipt.json		stage	generating_and_reconstructing	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v2.json		stale_receipts_excluded[0].stage	generating_and_reconstructing	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v3.json		stale_receipts_excluded[0].stage	generating_and_reconstructing	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v3.json		split_shards.test	3	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v2.json		split_shards.train	14	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v3.json		split_shards.train	14	structured_metadata_candidate						
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	approved_local_text	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v2.json		unique_inner_shards	17	structured_metadata_candidate						
