sample_class	process_or_mode	campaign	standard_card_campaign	manifest_generated_events	run_card_nevents_values	run_card_event_norm_values	structured_denominator_candidates	structured_weight_strategy_candidates	structured_qcd_sampling_candidates	text_sumw_evidence_lines	text_unweighted_evidence_lines	text_negative_weight_evidence_lines	text_weight_strategy_lines	text_event_norm_lines	text_generated_event_lines	text_process_weight_lines	normalization_denominator_authorized	metadata_status	required_next_action
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	True	40000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	True	90000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	True	140000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	True	140000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	False	1500000			2	10	8	0	0	0	0	0	1	0	False	importance_sampled_qcd_configuration_denominator_and_stitching_unresolved	recover QCD bin definitions, proposal probabilities, per-bin cross sections, and aggregate nominal-weight sums
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	False	500000			2	10	8	0	0	0	0	0	1	0	False	importance_sampled_qcd_configuration_denominator_and_stitching_unresolved	recover QCD bin definitions, proposal probabilities, per-bin cross sections, and aggregate nominal-weight sums
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	False	500000			2	10	8	0	0	0	0	0	1	0	False	importance_sampled_qcd_configuration_denominator_and_stitching_unresolved	recover QCD bin definitions, proposal probabilities, per-bin cross sections, and aggregate nominal-weight sums
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	False	10000			2	10	8	0	0	0	0	0	1	0	False	importance_sampled_qcd_configuration_denominator_and_stitching_unresolved	recover QCD bin definitions, proposal probabilities, per-bin cross sections, and aggregate nominal-weight sums
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	True	20000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	True	70000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	True	70000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	True	740000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	30000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	30000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	50000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	30000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	True	60000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	True	60000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	True	40000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	50000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	30000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	True	5200	46800	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	20800	46800	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	True	50000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	True	3300	19800	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	13200	19800	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	True	10000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	True	90000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	True	150000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	True	1500	7500	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	True	6000	7500	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	False	20000			1	0	0	0	0	0	0	0	0	0	False	ggf_nonstandard_configuration_and_denominator_unresolved	recover exact ggF source configuration and aggregate generator-weight denominator before theory matching
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	False	80000			1	0	0	0	0	0	0	0	0	0	False	ggf_nonstandard_configuration_and_denominator_unresolved	recover exact ggF source configuration and aggregate generator-weight denominator before theory matching
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	True	10000	10000	average	1	0	0	0	4	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	True	90000	10000	average	1	0	0	0	3	0	1	2	8	0	False	standard_cards_and_provenance_available_but_campaign_sumw_or_uniform_weight_proof_missing	perform a controlled generator-level nominal-weight audit across campaign shards or recover trusted aggregate sumw
