payload_key	replica	category_id	transferred_rows	payload_archive_size_bytes	payload_archive_sha256	archive_file_set_pass	internal_sha256_pass	provenance_pass
replica_0200__exact3tag	200	exact3tag	108637	14792039	3c847483807a7e00599b45a784832acf56f0fa10acf67218c2d1dd6c3e47d135	True	True	True
replica_0200__ge4tag	200	ge4tag	30734	4192625	f0a7f879dc32dac7d976cd99cc4493b07870d8d39631bc4b2891222aeb23323d	True	True	True
replica_0201__exact3tag	201	exact3tag	108203	14611245	33edc7b55593b79a638871d8869de8debb5db659f39efc104bfdf31ebada1b74	True	True	True
replica_0201__ge4tag	201	ge4tag	30886	4380382	98aad43bbf8f2960a40aea0d8c5f66064240974dd1325b0acc35c3eda0d5abe5	True	True	True
replica_0202__exact3tag	202	exact3tag	108605	15010339	d7ca626fbbadb306a98c15614c4f1e6712c6f8be8a6d39dd29c1be57cca30ec9	True	True	True
replica_0202__ge4tag	202	ge4tag	30851	4470075	779c19b4dc6390aface7082b48510c4582401a9a493f243b70a717e2e61e7bed	True	True	True
replica_0203__exact3tag	203	exact3tag	108908	14942815	d9cbe84e083d478a03e2b20fdc5c3c8e3c9f295aa723e4e606d3d10215ed76d8	True	True	True
replica_0203__ge4tag	203	ge4tag	30837	4277547	1813d25fcfcaf5d9494b3e08a1d8f16ff35c3a7fe22cb642efe556f691d52d33	True	True	True
replica_0204__exact3tag	204	exact3tag	108664	14419175	453de77115e36fb2f8574f3c1771ee523d724781e8163a64b6761262bca9e085	True	True	True
replica_0204__ge4tag	204	ge4tag	30642	3986285	acfee546e791bb73c7206211098b9a87c299c9b6ba14f110986482b435d3213d	True	True	True
replica_0205__exact3tag	205	exact3tag	108609	14253398	4ed1b06ae9986b13d18923642eedce9236d8bc4f3b7899d47b4b5a347af776be	True	True	True
replica_0205__ge4tag	205	ge4tag	30321	3908312	7d748cbe2ef6c908ee941f17d510be9bb07eb796ff458f44b84b501fc7a590c3	True	True	True
replica_0206__exact3tag	206	exact3tag	108493	14061270	d82b12c41239528e64285bc46b9ad2700825fd21a69b5d120d3a45592856ef10	True	True	True
replica_0206__ge4tag	206	ge4tag	30779	3912996	30f8cc7fc50201a9db72804bf3025744a0ae115f68943c9beaadfe4c427aa13e	True	True	True
replica_0207__exact3tag	207	exact3tag	108892	14445029	57e6c2dc75e1d3845b0c0d7d2442a3520efc1c1fdaae2d6ba44547079af2e8e4	True	True	True
replica_0207__ge4tag	207	ge4tag	30703	3868929	73c3efbac5418667460d0665997e131b2bb2d0f47872fa54abec8ba66feb0bae	True	True	True
replica_0208__exact3tag	208	exact3tag	108870	14009483	2de1c41cd078a6eb3130b929a852834fb6b7005aa92ee3e9f50a110375613a0e	True	True	True
replica_0208__ge4tag	208	ge4tag	30468	3801623	73f65988acc77e44b5d56cdb20de1c1a38029571407e1da38ea8316f349f10db	True	True	True
replica_0209__exact3tag	209	exact3tag	108852	13840077	6a67c2c848a4030db3a943c1b5e3c2dc3b939a4a553e02f5e2a39249a34e2476	True	True	True
replica_0209__ge4tag	209	ge4tag	30641	3791795	a1a9d19b167bd99e245c65e2d46e095b5a43697c05c8c55f3f397055c1327c1c	True	True	True
replica_0210__exact3tag	210	exact3tag	108694	14637965	9b41774c86ca6dc42e576a7f332a5373c25350a6f4527b3b0217ea83457959a0	True	True	True
replica_0210__ge4tag	210	ge4tag	30896	4119451	a4ba6a93b0aac52548173d8f3954586eb386aaf1ef1e1a0cd18bd6cf360220c1	True	True	True
replica_0211__exact3tag	211	exact3tag	108972	13463116	67bd7fff2af69ef5e1a17d1e1d3cbc0c08afb21010dcb0f3a568c8da089633af	True	True	True
replica_0211__ge4tag	211	ge4tag	31081	3532243	b9f7e98a9d0d27f941fba74fe3f64a83b0d27002d8229a2bef3f81110bb97f5c	True	True	True
replica_0212__exact3tag	212	exact3tag	108783	14093612	d80e26522a3538a46b30dd78f1489864043db1c15608f33b4a72c624809d6007	True	True	True
replica_0212__ge4tag	212	ge4tag	30544	3947890	a0e5accbc63569ad369d39c30fa46e2fd0527a77dc5b8f1623563a6e5cbcf4f3	True	True	True
replica_0213__exact3tag	213	exact3tag	108053	14595894	d93a5e6febd45e802be1b8e55f64d99c3809c44cfba37d81d42f926b490db87c	True	True	True
replica_0213__ge4tag	213	ge4tag	30890	4219486	5bb1f44b9cea9e4e863c24db25ba88be4d18442cd43ee47d7d43256000cdacb7	True	True	True
replica_0214__exact3tag	214	exact3tag	108724	15099278	8a1854fa80452c42dec3cf136afe5bc49103fbdc73e6c3a18699d1beae6a26a5	True	True	True
replica_0214__ge4tag	214	ge4tag	30568	4217139	9da6a58c17b6464810bde181b44adf5622c4c8d59091231910072049531be7fa	True	True	True
replica_0215__exact3tag	215	exact3tag	108658	14971640	83139f23289fbbc9085f567edf731993a81877e287d4fb255f2538713918144e	True	True	True
replica_0215__ge4tag	215	ge4tag	30553	4145686	61606be8d780a0142c076328a53906050be777f82e43428126440a83cf990946	True	True	True
replica_0216__exact3tag	216	exact3tag	108305	14841618	4cbe51e072aeb3336191ea77f1bee58e9f7133889ef4bab246ea81fe827e9017	True	True	True
replica_0216__ge4tag	216	ge4tag	30593	4148888	5d556021e79694d19b6c3f46acb6267e2fa4f39be0e3411b09236731c5a4878e	True	True	True
replica_0217__exact3tag	217	exact3tag	109222	15093090	5716636e5f229538e38c697132d311da0a8f5995d07307adf9bb6478f9662e50	True	True	True
replica_0217__ge4tag	217	ge4tag	30870	4285327	bee188184ae7c039a044acd82afb48b226c10e5fa68399bf947213a7b98a50f7	True	True	True
replica_0218__exact3tag	218	exact3tag	108481	14523098	92d8c2533609f4f0dba5e2605d6808602bf8e03862201c09e6f7dfd88be8259a	True	True	True
replica_0218__ge4tag	218	ge4tag	30449	4123278	771524bd29f6e2f367fc8ffa5ec01e872ce4dd701df784d399d9eb9ba01101e0	True	True	True
replica_0219__exact3tag	219	exact3tag	108740	14249017	513de835cf202356bd29273a3ba495c29d1e6cc910aec0390b42ac920cf849db	True	True	True
replica_0219__ge4tag	219	ge4tag	30586	3841086	95773d398278941f5e5943f8dbab0a0165059cab035656168d266b2db5b295c0	True	True	True
replica_0220__exact3tag	220	exact3tag	108638	14651942	0168e5de5023122d88926660ef30a1095f5f55804130739be270caa0775feba2	True	True	True
replica_0220__ge4tag	220	ge4tag	30656	4096295	98a35f861b40f0ac00b8e72c106dc82df258e73dce2fb91ca86f418e856b360f	True	True	True
replica_0221__exact3tag	221	exact3tag	108658	14542960	74241a8eace82da7447407bc39d5ada679a65a0051226e60d7ea802e974da69b	True	True	True
replica_0221__ge4tag	221	ge4tag	30661	4064454	206d3774c9e8f4b7a79cf9c962996c4ed38988085b097a1ceb1eea7914e5cc91	True	True	True
replica_0222__exact3tag	222	exact3tag	108693	14082978	a80a6306d5709f5ac6000a2ace99291d80fc1168d198a1f3810d01ff6b4c157d	True	True	True
replica_0222__ge4tag	222	ge4tag	30693	3828174	1da0aaa52ae7b04998485f4170722287afbcc3d7b5b55f374a5d853123732af3	True	True	True
replica_0223__exact3tag	223	exact3tag	108694	14797779	143bc11ce55f5396ed9f97abc981ba3deca7de2e6c5175e05c0fd3c0b765de75	True	True	True
replica_0223__ge4tag	223	ge4tag	30401	4131459	f920d284937fc0abdf49eef56c7a6f5ae74287dc9f847912f8da14be47b9dc79	True	True	True
replica_0224__exact3tag	224	exact3tag	108751	14772664	4b374b57a20aa55863d5f9c234394a5c0b39732a4c0c6f16e22648539de9e214	True	True	True
replica_0224__ge4tag	224	ge4tag	30749	4051063	566223de19c9ea5517dc766c45f25b625b1e0c74a47e96a672307fe2b58842a6	True	True	True
replica_0225__exact3tag	225	exact3tag	109355	15218289	ef3971b7132de09cb9cbb8ae07d2ff4c1ca779a1a9ed4714657a3935cdb1af41	True	True	True
replica_0225__ge4tag	225	ge4tag	31089	4264496	2963072182488977f98fdd7503af6f64607ff64a209ec46c7eb97b3e152e7e50	True	True	True
replica_0226__exact3tag	226	exact3tag	109498	14724959	17dcb1b8ca716319c35099a665245293a9ec9492ef3dc2fef597b04e034f2e55	True	True	True
replica_0226__ge4tag	226	ge4tag	30719	4167741	fcb6f69749eae687d39f318fa143f4203541fe47bca684316fbf08b693e9adc8	True	True	True
replica_0227__exact3tag	227	exact3tag	108699	14658495	e03f3dd4b456aaa0962eb2eea494d2a92b98f50b0a02e2d8cc97a6f46227a098	True	True	True
replica_0227__ge4tag	227	ge4tag	31111	4295185	8fa901420d1566701b8aa7d4815292a95f7fec83723a01d75665c4435c1dbb8a	True	True	True
replica_0228__exact3tag	228	exact3tag	108819	14366399	ac94abe15600eea39c431424f9595d69183a12e6fee8e7fb36ee902442500d17	True	True	True
replica_0228__ge4tag	228	ge4tag	30891	3972848	615d2f8a9653b1ecefee3f0505671cfec61647064befbf44e90b801ee90183a8	True	True	True
replica_0229__exact3tag	229	exact3tag	108668	14602343	660a29a8fb18a9baee9d88e35613bcc9bccd5ffbd66ef747da466b592c13462e	True	True	True
replica_0229__ge4tag	229	ge4tag	30698	4091565	53df3e90957637b66174f5380d5e6128cd9c48d0cf5e2b3bf30b6e1ef9f6a2df	True	True	True
replica_0230__exact3tag	230	exact3tag	108976	14425568	bc642d559d2afd9fcdb75717d64df928b72e6158220f9005423b68ec7ccfe885	True	True	True
replica_0230__ge4tag	230	ge4tag	30793	4038539	4fb2f6cd245d4343b88e252357dd597f9d91f5fc378446cdf2bb30ef22c21d11	True	True	True
replica_0231__exact3tag	231	exact3tag	109060	14578195	9a2b242f5872cf20ec194acf48914c6ef38468c402dd0b208ac603318a59bde0	True	True	True
replica_0231__ge4tag	231	ge4tag	30883	3929484	542070af6f6b1bdd123efcdefadc5cf0a4e0e8f06b54fa65ef27addf3aca3c1b	True	True	True
replica_0232__exact3tag	232	exact3tag	108721	14536343	f2fe33408665a2214bc817bfdc26a20d4e3fcb6892db0120dfb4f82e7d2de735	True	True	True
replica_0232__ge4tag	232	ge4tag	30433	4010743	4770ff6cdf2baefd0589e2fba35764fa4586aa47ad063b93cd6abe1740b39542	True	True	True
replica_0233__exact3tag	233	exact3tag	108220	14501289	469149a1f85004149c92af7f99c8083c2c8bafbcb3a70fb630637f2ff875d882	True	True	True
replica_0233__ge4tag	233	ge4tag	30947	4226842	e18d70ae438cb8d9f050071aab0dd5c5a4ef41e234d7fb1e7630ce1cc3581461	True	True	True
replica_0234__exact3tag	234	exact3tag	108576	14630920	0fe51e762450b91f5c309992417957368e177be436a84da9fbd076dba9f8ffe8	True	True	True
replica_0234__ge4tag	234	ge4tag	30828	4186711	21b9e0069362491d9216181fb92687ba1c2eb016b7d9443f0b922b1d090309b9	True	True	True
replica_0235__exact3tag	235	exact3tag	108439	13707414	37f7582ea26a3bdba4b7461018c62fbe61f31f37dac7f65d2ecf9f89b3a49686	True	True	True
replica_0235__ge4tag	235	ge4tag	30866	3651114	c1a75741539d48984864c3c8cf72004bbaf37d1eff5177f8db49b3a67a5f4513	True	True	True
replica_0236__exact3tag	236	exact3tag	108780	14085721	72b2ef5eb97579d9e86c9c630d0add2ded5ce92e9a99d321bc94e65e8e320d6a	True	True	True
replica_0236__ge4tag	236	ge4tag	30455	3859804	678f5cad6cd4d664d4a891c78bdb1e732d852cc796e8b356f59d1f4b9c5b081f	True	True	True
replica_0237__exact3tag	237	exact3tag	108781	14321035	668fa8b2794eaed6164a230dd162527cc126477eea371858636d4c756abca924	True	True	True
replica_0237__ge4tag	237	ge4tag	30397	3936240	37d4977b7cf27b25dc34e86571277c9520b5f162ba4be9cbf06b181cfa8dffde	True	True	True
replica_0238__exact3tag	238	exact3tag	108679	14677932	5f114ee248f09f1b7dcf3d3ccf729f97f565be544b580a6c0c22bed6f291f112	True	True	True
replica_0238__ge4tag	238	ge4tag	30653	4261465	c486d78da0983ba0e58ce83e94e69c4d0bd598ada4b5567b374edcba504cfe88	True	True	True
replica_0239__exact3tag	239	exact3tag	109190	14328285	0df605eec0e3ed363249a9a5ea192657e3ab598e943c99195dba9e6ca20ef645	True	True	True
replica_0239__ge4tag	239	ge4tag	30588	3843314	e62239c99436c76b5528b8d1c30ce4f6e70155086457ca769091db56bece10ff	True	True	True
replica_0240__exact3tag	240	exact3tag	108630	13640654	df5ce335e0e4fb30eb0df49fa4301e59ee80816c9063e54197b2ad67aeb24d95	True	True	True
replica_0240__ge4tag	240	ge4tag	30638	3685133	b88d25461cbfff2252c073375fd63c32632246968e9aca2dd8967acd6be48560	True	True	True
replica_0241__exact3tag	241	exact3tag	108419	14960682	39e82f0d4c4214b6805d9c8911de4364b2e75c91bf1b4888146227ff06abf11e	True	True	True
replica_0241__ge4tag	241	ge4tag	30866	4384977	d085c00ba94e4a3ae42e19676da6677b3b88cf1a8af70439a1cb21688e9b37f9	True	True	True
replica_0242__exact3tag	242	exact3tag	108284	14526690	f16371904b050933eb2ee506aa1b005a5329a65e858094b3b5984f01e5e462eb	True	True	True
replica_0242__ge4tag	242	ge4tag	30726	4322730	6ef004f95758adfb854598a3ba3a8b6c4d9bd51913c4dea6e92dce58822c7891	True	True	True
replica_0243__exact3tag	243	exact3tag	109655	14492756	1643b8fdb1989e843e890dd349d04159a39e7d196a9664189d52cb3665a1400a	True	True	True
replica_0243__ge4tag	243	ge4tag	30522	3935740	6039d6736d5f39d71a0d29358b1cdc6aebfd7c1529f7c54d60db8f5bcf65c346	True	True	True
replica_0244__exact3tag	244	exact3tag	109020	14506287	1e3812ff1763404b9c56bb41bc24ea274c1098b057012db266f011c14bba6378	True	True	True
replica_0244__ge4tag	244	ge4tag	30580	4023131	7b945ca374929702ea9d3adef25839d59a0d982a768316389ebce027cd4f25c5	True	True	True
replica_0245__exact3tag	245	exact3tag	108754	15049775	746e2d654f801d57e64d3d595554b5eb3dae646d73efe1ba28e65be7f693ff03	True	True	True
replica_0245__ge4tag	245	ge4tag	30566	4173145	03190910ea63a6dbd0894c9721d9e6f6d52898b175396fa7485cbec236e59dfe	True	True	True
replica_0246__exact3tag	246	exact3tag	108612	14420708	7f60f465ba720b913bd42545f738effc69bb47afd41b29688020c6c97fd0559d	True	True	True
replica_0246__ge4tag	246	ge4tag	30639	3996007	e6825020232e710acf18785349d58ee57b0c027b4ad5369c4b8b0548f8164d36	True	True	True
replica_0247__exact3tag	247	exact3tag	108458	14337641	a76402ce805e19c905b8fe53595c429b1bd36d50660e75a6648473858adc8397	True	True	True
replica_0247__ge4tag	247	ge4tag	30685	4049103	c897a15ffcc0199b26f7379549675301e553e9a91d4f19dffe61594fb8f4150f	True	True	True
replica_0248__exact3tag	248	exact3tag	108388	14535298	e056ee80f24e44601974a5c3ec64dd665ace1da5766e520ae48829ad1fa4faac	True	True	True
replica_0248__ge4tag	248	ge4tag	30439	4134828	c2a0ff22e80da68b055f846988268f92331368db83120819891c0fe2a8fa673f	True	True	True
replica_0249__exact3tag	249	exact3tag	108708	15416391	c7b75e7c4e26fa47230da7f0700d8d9cf6b1fc770e212d43884f8c14e322dd28	True	True	True
replica_0249__ge4tag	249	ge4tag	30708	4435662	6c1b1fe5b585a7669509b86a0c21cb3301263d4a46b2cf3559aa8c4ff4f1af97	True	True	True
replica_0250__exact3tag	250	exact3tag	108518	14648808	307daf13dab56db6cfccceab49dd9e5435e99d127078ab070aed739596792d03	True	True	True
replica_0250__ge4tag	250	ge4tag	30593	4337512	eb8babb48627d8d582ebf9eae76929d4df7017002734de93721180eac1e7630c	True	True	True
replica_0251__exact3tag	251	exact3tag	108553	13799333	aac2b79db66a16fa0ef6b850bf7458fe699ce9176abd8a0a28bb527bd37c131b	True	True	True
replica_0251__ge4tag	251	ge4tag	30852	3697415	989e3fcfba02acd135475b79c4ae6ac4829f9fd2e46b26647cddc2ca95fc63fc	True	True	True
replica_0252__exact3tag	252	exact3tag	108591	14184731	eb2f3ad1265834f500db4174317be21ed9bfd09093c44beaffd12d4e29f0f411	True	True	True
replica_0252__ge4tag	252	ge4tag	31006	3979181	c8f7914e7e0ef52f4e3fa20f6a87aaf92aa3732e05d42732a3b7c32498f1fc11	True	True	True
replica_0253__exact3tag	253	exact3tag	108368	14517776	72e8ebcb0481ea4313518b8fb91c60c603a8e114e46ca78488bb50b59ff40bd4	True	True	True
replica_0253__ge4tag	253	ge4tag	30586	4076868	4aa551b1a7a514765d2436399815d449739b058152cad5166f3608f9fb49c664	True	True	True
replica_0254__exact3tag	254	exact3tag	108144	14431110	592b8577057f9063b3137cc87148681a151dc78b9c04db5dcf1f13b8ba6c5d33	True	True	True
replica_0254__ge4tag	254	ge4tag	30708	4104077	52e92366168d192ab80b3bfb05a4ba2f4a649aef0b1644b422147adf74a0ebaf	True	True	True
replica_0255__exact3tag	255	exact3tag	108650	13723117	a6f4acbd858d2b0377fd599f8ba51a2e7e196953385b3e331f0b70e16fb5248c	True	True	True
replica_0255__ge4tag	255	ge4tag	30815	3769952	42dc1942d15bcac7c206d3033b81d8b14e49613fa4a9334378374554a4263509	True	True	True
replica_0256__exact3tag	256	exact3tag	108805	14653228	afa3facda5a68f1818c029eb4bc0ae283f9bc367fc4b9059f1bb8ebde349b5df	True	True	True
replica_0256__ge4tag	256	ge4tag	30267	4070076	794b2063fc2a4ad8f8db52966409748613c5479105b37cce7287acaee6350ad7	True	True	True
replica_0257__exact3tag	257	exact3tag	108779	13879702	1cfad9307a384d5b6dabd8b2b80be1d225601f6b6a3a8d47c16c6b25cb18c9eb	True	True	True
replica_0257__ge4tag	257	ge4tag	30897	3834001	c7984e0dc717e41d65a6bb4725d2ca0adc7466b86131ee86210a1ffce1bb3975	True	True	True
replica_0258__exact3tag	258	exact3tag	108348	14646264	5d19c575371f9e76c0d963ff549ea91caddc96f3e48b61afc555d28ac6b7aed5	True	True	True
replica_0258__ge4tag	258	ge4tag	30625	4094290	3f8bfe9ac4c1dd1e31eff4ec720ae4a96fce0a1feebe31191dca24141f56af50	True	True	True
replica_0259__exact3tag	259	exact3tag	108398	14772525	a8c312c8252dd4f0be7d72494c6c6dced6027a3027265264da6fbdbd18f7a0ad	True	True	True
replica_0259__ge4tag	259	ge4tag	30753	4077318	4d223204b9d12aac982cca373ce6936c2ecb2c3f55c416781068dbdea785421b	True	True	True
replica_0260__exact3tag	260	exact3tag	108524	14263738	0e65faaf4d916727879e1a0372e53dfc1957bb1d74b18887c086ae2cd4abd098	True	True	True
replica_0260__ge4tag	260	ge4tag	30322	3889851	e3606b50b9f3c7fa1304aa1f3ad345b31ff123b0aa2e6a7dcd17572d7a919a22	True	True	True
replica_0261__exact3tag	261	exact3tag	109307	14878431	31de359c11c2d3e33fe5c7e4f65002bbee6db3f6fb7a3aac8f11de793b818991	True	True	True
replica_0261__ge4tag	261	ge4tag	30805	4158021	fe800541677423e1c75cb6ef9ac17e2dbc2cd702d6668486c65dcb3f575f81fa	True	True	True
replica_0262__exact3tag	262	exact3tag	108756	14544930	aa5645acb524b5de04d3bdf6a3c450af3b5985697e002b1164a373aad9f7b5a0	True	True	True
replica_0262__ge4tag	262	ge4tag	30580	3959195	9b974b0a06e63855695f7c9e2a3d9b1f2d48f2a18c824e6b0626d2178fc8f2ab	True	True	True
replica_0263__exact3tag	263	exact3tag	108291	14769446	a122c8fe9d1afa7c3251193fa33ab08a6878812766374edddb11880c4dbd11d2	True	True	True
replica_0263__ge4tag	263	ge4tag	30634	4182823	4b8c81416d4c87662c95ed32270dd30a23f2cae88f40852bba1c5e6865dc0ee5	True	True	True
replica_0264__exact3tag	264	exact3tag	108603	13942049	1ee109851f005292be68001681db4a8c267d97f0d330f3c65b96bf104c0fcfcf	True	True	True
replica_0264__ge4tag	264	ge4tag	30543	3831596	8bd6733d122260d8c7fc14aa10288b431e066ea4e0886dcc37175e29ca7d355a	True	True	True
replica_0265__exact3tag	265	exact3tag	108860	14991919	5f81c3449f76cad754c719f791d82a8a796fa4bb4dfe43871902bafb7b7fee77	True	True	True
replica_0265__ge4tag	265	ge4tag	30597	4257009	4e1f2dc29ba1868c761ddfee96f8fa4db8011ce445db1ee6c840ec2b739afe05	True	True	True
replica_0266__exact3tag	266	exact3tag	108527	13412189	51dcfcf32dbdc12e72ddd901326905851d6755dacd02af2de3882541a7f5abf6	True	True	True
