checkpoint_relative_path	size_bytes	sha256
evidence/canary_provenance_hash_adjudication_summary.json	2480	1a9f52ecf775aa123f298549611c03f487aa8d716a9b4693c130ba861c274768
evidence/committed_canary_canaryconfig.log	9112	e683802ecffea430b18fb49691265fb94c54ef758f2a1d77466c2e83eefc7aa8
evidence/committed_code_canary_summary.json	1090	2fc05835912c8929eb76f9fc46801c090c65b17dfebaa1ae3b6a6eba34d7e7a0
evidence/current_canary_results/pass1/outer0__exact3tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/SHA256SUMS	177	92d6e94e21747136927f0cc8768ee34be4018bf8607e38762c1df6ecb68868c3
evidence/current_canary_results/pass1/outer0__exact3tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/inner_crossfit.tsv	6909	8eddc530b3ad0ae67a76df94085f076a1c29c38864ff4e7f5e69149e875e6c0e
evidence/current_canary_results/pass1/outer0__exact3tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/structure_result.json	3982	751e8d9f83d91bca76ab6a9f3307dbd562fc71f021eee8158147cf76aada817f
evidence/current_canary_results/pass1/outer0__exact3tag__radial_mass__category__mass_only/SHA256SUMS	177	a350ec7ff17691b0b4a4baedcc4cbe085e84af64abecc557c0343018d80f24b0
evidence/current_canary_results/pass1/outer0__exact3tag__radial_mass__category__mass_only/inner_crossfit.tsv	6112	9cd249d142c263e099b3d2e30f456ee61c5289f40992d9c506ab000cf9c8fb8b
evidence/current_canary_results/pass1/outer0__exact3tag__radial_mass__category__mass_only/structure_result.json	3578	eccb3028a768ca0e2af2577ec70fbbc5c430b78b53fb1f6d6ffb4bcc6718af33
evidence/current_canary_results/pass1/outer0__exact3tag__symmetric_rectangular_mass__category__plus_h2_pt/SHA256SUMS	177	809ea77082d38d23889b2b32d4a155dd242083f9ecb865cbd5cacac903a4762c
evidence/current_canary_results/pass1/outer0__exact3tag__symmetric_rectangular_mass__category__plus_h2_pt/inner_crossfit.tsv	6477	168de51319a17ea9002f1d30110a3a3f928e90252685bdfeb836dc6151959fa5
evidence/current_canary_results/pass1/outer0__exact3tag__symmetric_rectangular_mass__category__plus_h2_pt/structure_result.json	3770	7b1ae4ce9006c388a103e9c94323b1e183928a17fec7b8856513b3b992c471c1
evidence/current_canary_results/pass1/outer0__ge4tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/SHA256SUMS	177	80392c81e6901d4beb3f3000ce0378ed53dbfc4d61557f79b738f6b7db698dcb
evidence/current_canary_results/pass1/outer0__ge4tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/inner_crossfit.tsv	6888	c0e7b4cebf8660a11ac44296a75b0ff2da0f0291ab129c73ccc596be69b5905b
evidence/current_canary_results/pass1/outer0__ge4tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/structure_result.json	3973	8233d89b8a07b2df21061acf1c8ad9d2ccd7b39f0383cf44309d92bea416f4c6
evidence/current_canary_results/pass1/outer0__ge4tag__radial_mass__category__mass_only/SHA256SUMS	177	5292856c77d6e2114949b7db7c308994e2aa6c11a9298c3ea28d9780a2b6e43a
evidence/current_canary_results/pass1/outer0__ge4tag__radial_mass__category__mass_only/inner_crossfit.tsv	6076	59d22b74f7eae41596f9b8361013e0f5bd51744c9a992835dc2f5718959b5c5c
evidence/current_canary_results/pass1/outer0__ge4tag__radial_mass__category__mass_only/structure_result.json	3566	dce79576a0e93756f89b5b25f983446537583c8bd83dfba3e5343920bf9a32f7
evidence/current_canary_results/pass1/outer0__ge4tag__symmetric_rectangular_mass__category__plus_h2_pt/SHA256SUMS	177	6c78c774153069ac513943d4dd027a37c2e4f5bea105237932cd2893b1108abd
evidence/current_canary_results/pass1/outer0__ge4tag__symmetric_rectangular_mass__category__plus_h2_pt/inner_crossfit.tsv	6438	584eb05edc187a9c5ac18e623eb0975afe336db265811837326407afb4bc1ff0
evidence/current_canary_results/pass1/outer0__ge4tag__symmetric_rectangular_mass__category__plus_h2_pt/structure_result.json	3754	572b445e248b38711688a1e289d6cfc0d68fbb1e874352a5d59b6bd16ad9a6a3
evidence/current_canary_results/pass2/outer0__exact3tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/SHA256SUMS	177	93315290b4061ae0e04856eafffb3be2d671ee1fe9f4ebfd78371c114bd74e4c
evidence/current_canary_results/pass2/outer0__exact3tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/inner_crossfit.tsv	6909	8eddc530b3ad0ae67a76df94085f076a1c29c38864ff4e7f5e69149e875e6c0e
evidence/current_canary_results/pass2/outer0__exact3tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/structure_result.json	3982	202cb7198d133c92dec658a3582111d28b97c2e3abfb90584f457b97a5cff44b
evidence/current_canary_results/pass2/outer0__exact3tag__radial_mass__category__mass_only/SHA256SUMS	177	d83e2fa49227153171dddca0bc33ce6c5b6fbf2ab3a0d0030904801a962d7166
evidence/current_canary_results/pass2/outer0__exact3tag__radial_mass__category__mass_only/inner_crossfit.tsv	6112	9cd249d142c263e099b3d2e30f456ee61c5289f40992d9c506ab000cf9c8fb8b
evidence/current_canary_results/pass2/outer0__exact3tag__radial_mass__category__mass_only/structure_result.json	3579	b4f2ee53b67ee84c6af4b89bc75e35b500cad363ed362f7a09ede7da5bc70c8e
evidence/current_canary_results/pass2/outer0__exact3tag__symmetric_rectangular_mass__category__plus_h2_pt/SHA256SUMS	177	b4a73cfdd7a5e0728537b0ad7ac5933eada1f71e956ed15cd1a76a948b004d9e
evidence/current_canary_results/pass2/outer0__exact3tag__symmetric_rectangular_mass__category__plus_h2_pt/inner_crossfit.tsv	6477	168de51319a17ea9002f1d30110a3a3f928e90252685bdfeb836dc6151959fa5
evidence/current_canary_results/pass2/outer0__exact3tag__symmetric_rectangular_mass__category__plus_h2_pt/structure_result.json	3770	6e3340891005d613118ae7e2667693a3832d57b1033d07c54ce3d0e9077fd3a6
evidence/current_canary_results/pass2/outer0__ge4tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/SHA256SUMS	177	1e1883745ecb6722c92d5a1e9630d9890752181a504afcbd368eabb863ef973f
evidence/current_canary_results/pass2/outer0__ge4tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/inner_crossfit.tsv	6888	c0e7b4cebf8660a11ac44296a75b0ff2da0f0291ab129c73ccc596be69b5905b
evidence/current_canary_results/pass2/outer0__ge4tag__asymmetric_rectangular_mass__category__plus_ht_candidate_jets/structure_result.json	3973	0141920d5096b9f01bea7fce5f031f2fb68421c7e2cbb77536478bdf84a8d77f
evidence/current_canary_results/pass2/outer0__ge4tag__radial_mass__category__mass_only/SHA256SUMS	177	119baa69a3996d3abcc527c647b9c2158f99184a64468fad28f6a695b9f2b8a5
evidence/current_canary_results/pass2/outer0__ge4tag__radial_mass__category__mass_only/inner_crossfit.tsv	6076	59d22b74f7eae41596f9b8361013e0f5bd51744c9a992835dc2f5718959b5c5c
evidence/current_canary_results/pass2/outer0__ge4tag__radial_mass__category__mass_only/structure_result.json	3565	92ffd0689f37b433b4a2275610a1623c6c4fad3bb1d5d4a61768ace8a9c725c2
evidence/current_canary_results/pass2/outer0__ge4tag__symmetric_rectangular_mass__category__plus_h2_pt/SHA256SUMS	177	d17edac344c560726d3de61896e531f0e8e7d7dd56ece576afb8e03fdaf04f3e
evidence/current_canary_results/pass2/outer0__ge4tag__symmetric_rectangular_mass__category__plus_h2_pt/inner_crossfit.tsv	6438	584eb05edc187a9c5ac18e623eb0975afe336db265811837326407afb4bc1ff0
evidence/current_canary_results/pass2/outer0__ge4tag__symmetric_rectangular_mass__category__plus_h2_pt/structure_result.json	3754	4773c1ac9b64235daf483da0e4889076832a37ed5bc7970bc2666ebb9ec3bdb0
evidence/normalized_result_comparison.tsv	3996	ba5547685cff941cbd47e0ab9ed586988247532b1f70e6a42d3ec8839f8a774e
evidence/worker_canonical_hash_semantics.json	466	3a1d350f3054c4bd6a7c904bdc43017ddfe67d2a79bfc66d92ddceee1d5ad0cc
