claim	source	verification_method_this_phase
Track-A authoritative evaluation = v2, not v1	track_a_mechanism_benchmark_20260814_v1/post_training_evaluation_20260815_v2/CORRECTIONS_FROM_V1.md	v2 directory used exclusively throughout scripts/frozen_paths.py; v1 path never referenced by any script in this package (grep-verifiable)
Track-A SHA256SUMS clean	post_training_evaluation_20260815_v2/SHA256SUMS (49 files), mechanism_interpretation_20260817_v1/SHA256SUMS (7 files)	scripts/verify_checksums.py, run before any extraction; 56/56 files OK
Track-B SHA256SUMS clean	phase4L (922 files), phase4M (324 files), phase4O (22 files), phase4W (6 files)	scripts/verify_checksums.py, run before any extraction; 1274/1274 files OK
Track-B E0/E1/E2 holdout_A working points (per-seed)	phase4M_holdout_a_adjudication_20260813_v1/HOLDOUT_A_WORKING_POINTS.tsv	read directly by scripts/extract_frozen_inputs.py; independently re-read and re-aggregated by scripts/independent_validate.py in a separate code path
Track-B E0/E1/E2 holdout_A seed-aggregated R_B mean/std	phase4M_holdout_a_adjudication_20260813_v1/HOLDOUT_A_SEED_STABILITY.tsv	cross-checked against an independent from-per-seed recomputation (ddof=0, matching phase4L/work/make_plots.py's np.nanstd default, confirmed by reading that script); VALIDATION_REPORT.json
Track-B mechanism-gain ratios (E1/E0, E2/E1)	derived this phase from HOLDOUT_A_WORKING_POINTS.tsv (seed-paired ratio, not previously published as a standalone table)	scripts/extract_frozen_inputs.py computes it once; scripts/independent_validate.py recomputes it independently from the same raw TSV and cross-checks; VALIDATION_REPORT.json
Track-A model values at eps_S=0.40 (cut baseline, CONTROL_0, DNN, transformer, FiveJetParTNet, NEW_C)	post_training_evaluation_20260815_v2/EVALUATION_RESULTS.json -> references.* and models.*.seed_to_seed_variation	independently recomputed model ordering + cross-checked every value against EVALUATION_RESULTS.json in a fresh read; VALIDATION_REPORT.json
Track-A bootstrap 68% CI (DNN, transformer, eps_S=0.40)	post_training_evaluation_20260815_v2/EVALUATION_RESULTS.json -> models.*.bootstrap_rb_eps_s_0.40_primary_seed	transcribed directly, cross-checked present in TRACKA_MECHANISM_TABLE.tex
Track-A support-gate flags (fixed eps_S grid, all 3 seeds, both models)	post_training_evaluation_20260815_v2/EVALUATION_RESULTS.json -> models.*.per_seed.*.rb_grid	independently recomputed from raw_background_rows/qcd_raw_rows/qcd_Neff via the frozen gate formula; 36/36 recomputed flags match file; VALIDATION_REPORT.json
Track-A support-gate flags (fixed eps_B tail, primary seed)	mechanism_interpretation_20260817_v1/TRACKA_SUPPORTED_REJECTION_RANGE.tsv	independently recomputed from the same three raw columns; 8/8 recomputed flags match file; VALIDATION_REPORT.json
Track-A paired DNN-vs-transformer bootstrap (Delta R_B, 68%/95% CI, fraction favoring)	post_training_evaluation_20260815_v2/EVALUATION_RESULTS.json -> paired_dnn_vs_transformer_bootstrap	transcribed directly; used verbatim in Figure 4 bottom panel and paper-draft prose
Minor transcription slip found in v2's own RESULTS_SUMMARY.md prose (says "63.6%", its own table/JSON say fraction_replicates_dnn_gt_transformer=0.641=64.1%)	post_training_evaluation_20260815_v2/RESULTS_SUMMARY.md line ~91 vs. same package's EVALUATION_RESULTS.json / table5_paired_comparison.tex	found this phase by cross-checking prose against JSON; disclosed in MECHANISM_RESULTS_PAPER_DRAFT.md; v2 file itself NOT edited (not this package's file to edit; matches this project's no-silent-edit-of-a-frozen-artifact convention); scripts/independent_validate.py asserts the correct 64.1% figure appears in this package's own prose instead
Minor arithmetic slip caught and fixed during this package's own drafting (E1->E2 gain at eps_S=0.10 first drafted as "+17%", should be "+29%")	this package's own MECHANISM_RESULTS_PAPER_DRAFT.md, draft-vs-final	caught by scripts/independent_validate.py's paper_draft_prose_gain_pct checks before freezing; corrected in the same drafting pass; both draft and corrected values are visible in this session's conversation transcript, not hidden
Categorical color palette CVD/contrast validation	dataviz skill references/palette.md; scripts/validate_palette.js	ran the actual validator (not eyeballed) on every color set used in figures 1-4, both the E0/E1/E2 triple and the 6-model Track-A set and the DNN/transformer pair; all combinations PASS the hard gates (see conversation transcript for full validator output)
LaTeX table compile correctness	scripts/compile_test/compile_test_wrapper.tex	pdflatex -halt-on-error, real compile (not a syntax eyeball); 0 errors, 0 overfull/underfull warnings on final pass; scripts/compile_test/compile_test_wrapper.pdf retained as evidence
Independent validation of every plotted/tabulated number	scripts/independent_validate.py, re-reading raw source files directly (not MECHANISM_RESULTS_DATA.json, not the generated .tex/figures)	199/199 checks pass; VALIDATION_REPORT.json
holdout_A not reopened by this package	no script in scripts/ opens phase4M's work/tensors/*_holdout_A directories; frozen_paths.py only references phase4M's already-frozen top-level TSV/MD outputs	grep -r "tensors/qcd_holdout_A\|tensors/signal_holdout_A" scripts/ -> no matches
holdout_B, holdout_Q, inference_qcd_1, inference_qcd_2 not opened by this package	no path in scripts/frozen_paths.py references any of these four	grep -r "holdout_B\|holdout_Q\|inference_qcd" scripts/*.py -> appears only in comments/docstrings (frozen_paths.py's FORBIDDEN_TOKENS list and extract_frozen_inputs.py's module docstring), never inside a Path(...)/open()/read call
No model trained, retrained, or evaluated by this package	every script in scripts/ only reads existing frozen files (csv.DictReader / json.load) and performs arithmetic derivations (ratios, tier classification, ordering) or renders plots/tables -- no import of torch/sklearn model-fit code, no checkpoint file opened for anything but its already-frozen provenance record	grep -r "\.fit(\|torch\.load\|\.backward(\|optimizer" scripts/ -> no matches
