forbidden_input_or_pattern	scope	reason	selected_features	selected_count	status
analysis_sample	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
avg_mbb	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
campaign	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
campaign_id	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
candidate_file_checksum	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
candidate_file_path	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
candidate_path	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
candidate_sha256	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
class_label	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
dataset_split	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
event	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
h1_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
h2_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
hh_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
higgs_ordering	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j1_btag	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j1_flavor	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j1_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j2_btag	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j2_flavor	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j2_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j3_btag	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j3_flavor	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j3_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j4_btag	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j4_flavor	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
j4_phi	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
local_path	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
member_index	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
pairing	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
pairing_combo_bjet_ranks	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
pairing_score_125_125	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
process	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
process_family	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
process_or_mode	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
r_hh	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
r_hh_125_120	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
registered_path	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
sample	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
sample_class	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
source_member	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
source_path	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
source_root	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
source_root_index	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
split	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
training_target	both_nominal_feature_sets	explicitly_forbidden_input	[]	0	pass
*_raw_index*	both_nominal_feature_sets	forbidden_identity_rank_or_threeb_provenance_input	[]	0	pass
*_selected_index*	both_nominal_feature_sets	forbidden_identity_rank_or_threeb_provenance_input	[]	0	pass
*_bjet_rank*	both_nominal_feature_sets	forbidden_identity_rank_or_threeb_provenance_input	[]	0	pass
*promoted_jet*	both_nominal_feature_sets	forbidden_identity_rank_or_threeb_provenance_input	[]	0	pass
*promoted_candidate*	both_nominal_feature_sets	forbidden_identity_rank_or_threeb_provenance_input	[]	0	pass
*threeb*	both_nominal_feature_sets	forbidden_identity_rank_or_threeb_provenance_input	[]	0	pass
