research_batch	sample_class	process_or_mode	campaign_count	generated_events	population_scope	source_family	canonical_source_description	reference_cross_section_scope_required	target_perturbative_order	branching_reconciliation_task	process_specific_reconciliation_task	exact_process_definition_evidence_required	numerical_reference_cross_section_pb	scale_uncertainty	pdf_alphaS_uncertainty	other_theory_uncertainty	filter_efficiency	matching_efficiency	k_factor_policy	branching_factor	reference_document_identifier	reference_table_or_equation	reference_access_date	research_status	review_status	physical_weight_application_authorized
A_higgs_and_hh	background	bbh_hbb_4fs	2	50000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group	LHCHXSWG Run-2 13 TeV bbH and H->bb recommendations	inclusive_SM_bbH_production_reconciled_to_4FS_generation	LHCHXSWG_recommended_bbH_accuracy	apply_BR_H_to_bb_exactly_once_if_reference_is_inclusive_production	document_4FS_generated_sample_vs_recommended_bbH_reference_scheme	True												pending_authoritative_primary_source_extraction	not_reviewed	False
A_higgs_and_hh	background	ggh_hbb	2	100000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group	LHCHXSWG Run-2 13 TeV ggF and H->bb recommendations	inclusive_SM_ggF_H_production	N3LO_QCD_plus_NLO_EW_recommended	apply_BR_H_to_bb_exactly_once_if_Hbb_was_forced	confirm_exact_generated_H_decay_scope	True												pending_authoritative_primary_source_extraction	not_reviewed	False
A_higgs_and_hh	background	tth_hbb	2	40000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group	LHCHXSWG Run-2 13 TeV ttH and H->bb recommendations	inclusive_SM_ttH_production	LHCHXSWG_recommended_ttH_accuracy	apply_BR_H_to_bb_exactly_once_if_Hbb_was_forced	confirm_top_decay_and_H_decay_scope	True												pending_authoritative_primary_source_extraction	not_reviewed	False
A_higgs_and_hh	background	vbf_hbb	2	50000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group	LHCHXSWG Run-2 13 TeV VBF and H->bb recommendations	inclusive_SM_single_H_VBF_production	NNLO_QCD_plus_NLO_EW_recommended	apply_BR_H_to_bb_exactly_once_if_Hbb_was_forced	reconcile_generator_jet_cuts_with_inclusive_reference	True												pending_authoritative_primary_source_extraction	not_reviewed	False
A_higgs_and_hh	background	wh_hbb	2	60000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group	LHCHXSWG Run-2 13 TeV WH and H->bb recommendations	inclusive_SM_WH_production	LHCHXSWG_recommended_WH_accuracy	apply_BR_H_to_bb_and_any_forced_W_decay_exactly_once	confirm_W_decay_scope_and_charge_sum	True												pending_authoritative_primary_source_extraction	not_reviewed	False
A_higgs_and_hh	signal	ggf_hh4b	2	100000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group_HH	LHCHWG HH 13 TeV SM ggF HH recommendation	inclusive_SM_ggF_HH	NNLO_FTapprox_or_current_LHCHWG_recommendation	apply_BR_H_to_bb_squared_exactly_once	retain_frozen_HEFT_generation_approximation_note	True												pending_authoritative_primary_source_extraction	not_reviewed	False
A_higgs_and_hh	signal	vbf_hh4b	2	100000	bundle_backed_population	LHC_Higgs_Cross_Section_Working_Group_HH	LHCHWG HH 13 TeV SM VBF HH recommendation	inclusive_SM_VBF_HH	current_LHCHWG_VBF_HH_recommendation	no_explicit_BR_H_to_bb_squared_multiplier	use_frozen_unforced_SM_Higgs_decay_sampling_convention	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	schannel_single_top	2	30000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG SingleTopNNLORef 13 TeV s-channel	inclusive_single_top_s_channel_charge_scope_to_be_matched	NNLO_QCD_reference	confirm_top_and_W_decay_scope	determine_whether_sample_combines_top_and_antitop	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	tchannel_antitop	2	80000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG SingleTopNNLORef 13 TeV t-channel antitop	inclusive_single_top_t_channel_antitop	NNLO_QCD_reference	confirm_antitop_and_W_decay_scope	keep_top_and_antitop_references_separate	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	tchannel_top	2	80000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG SingleTopNNLORef 13 TeV t-channel top	inclusive_single_top_t_channel_top	NNLO_QCD_reference	confirm_top_and_W_decay_scope	keep_top_and_antitop_references_separate	True												pending_authoritative_primary_source_extraction	not_reviewed	False
